iter	R2	RMSE
0	0.08941252011	45168.41397
1	0.1709426184	43098.91122
2	0.246777227	41080.50037
3	0.3124244021	39249.50929
4	0.3719072387	37513.35422
5	0.4271388314	35826.03089
6	0.4766764988	34242
7	0.5229999346	32691.37769
8	0.5644983859	31236.96912
9	0.601007723	29898.97145
10	0.6349263539	28599.88227
11	0.6653111989	27383.85549
12	0.6940004338	26183.90456
13	0.7197664945	25057.28621
14	0.7435985498	23968.13501
15	0.7653470603	22929.09974
16	0.7846978397	21963.33054
17	0.8027590304	21021.92915
18	0.8179442485	20196.50427
19	0.8320527648	19398.15535
20	0.8454586526	18607.85662
21	0.8578322783	17847.38144
22	0.8694959447	17099.60221
23	0.8799609252	16399.6781
24	0.8894083517	15741.10331
25	0.8979109575	15123.89206
26	0.9054513431	14554.6473
27	0.9121856553	14026.73965
28	0.9185399765	13509.71755
29	0.9245698091	13000.09743
30	0.9302377491	12502.13679
31	0.9354268845	12028.17877
32	0.9399737837	11596.96879
33	0.9440947881	11191.80547
34	0.9478058179	10813.9673
35	0.9512086801	10455.51157
36	0.9545411596	10092.138
37	0.9575373715	9753.880734
38	0.9603559941	9424.596594
39	0.9628697281	9120.907862
40	0.9651333347	8838.513103
41	0.9671204292	8582.95971
42	0.9690232667	8330.897903
43	0.9705314177	8125.566063
44	0.9721661755	7896.969241
45	0.9733882687	7721.658118
46	0.9747080749	7527.745841
47	0.9758905951	7349.660011
48	0.9769184228	7191.289035
49	0.9779028005	7036.272037
50	0.9788318076	6886.77494
51	0.9796092345	6759.129522
52	0.9803968704	6627.301212
53	0.9810731166	6511.987477
54	0.9817038513	6402.562756
55	0.9822989542	6297.576723
56	0.9828430672	6200.03055
57	0.9833820248	6101.871488
58	0.9838406958	6017.073713
59	0.9843051978	5929.962224
60	0.9846494012	5864.57661
61	0.9850513801	5787.280777
62	0.9853958506	5720.21216
63	0.9856466131	5670.889687
64	0.9859489115	5610.854267
65	0.9862291538	5554.61954
66	0.9864627302	5507.310292
67	0.9867093389	5456.916349
68	0.98692862	5411.712584
69	0.9871031573	5375.46087
70	0.9872765	5339.213661
71	0.9874496035	5302.769219
72	0.9875895003	5273.13194
73	0.9877425321	5240.520039
74	0.9878783081	5211.414597
75	0.9879873885	5187.913428
76	0.9881140431	5160.491637
77	0.9882205101	5137.327412
78	0.9883195459	5115.68585
79	0.9884161745	5094.481712
80	0.9884940512	5077.328032
81	0.9885844625	5057.340391
82	0.9886643694	5039.609045
83	0.9887231211	5026.532124
84	0.9887961394	5010.232191
85	0.9888419729	4999.973588
86	0.9889049915	4985.834104
87	0.9889659512	4972.118304
88	0.9890239594	4959.031372
89	0.9890807339	4946.189244
90	0.9891299228	4935.035919
91	0.9891666781	4926.685373
92	0.9891954677	4920.134676
93	0.9892344117	4911.25957
94	0.9892781232	4901.278843
95	0.9892884853	4898.909848
96	0.9893036764	4895.434791
97	0.989333807	4888.534932
98	0.9893656754	4881.226487
