source,source_type,year,make,model,vin,price,mileage,location,engine,axles,transmission_type,transmission_speed,wheelbase_inches,apu,truck_type,sleeper_size,overhaul_paperwork,listing_url,auction_date,first_seen_date,last_seen_date,is_duplicate,review_flag,is_relisted,status,created_at,updated_at
commercialtrucktrader.com,retail,2016,Peterbilt,579,6K952TLHACFFFR6CR,78624.4,873724,"Atlanta, GA",Cummins X15,6x4,Automatic,10,266,False,Sleeper,"86""",False,https://www.commercialtrucktrader.com/listing/43227988,,2023-05-09,2023-06-26,False,False,False,withdrawn,2023-05-09 04:00:00,2023-06-26 00:00:00
ritchiebros.com,auction,2018,Freightliner,Cascadia,DWZ204G2FT3WDWLD5,98934.98,735318,"Phoenix, AZ",Detroit DD15,6x2,Automatic,10,223,False,Flatbed,,False,https://www.ritchiebros.com/listing/45903877,2023-09-20,2023-07-24,2023-11-09,False,False,False,withdrawn,2023-07-24 22:00:00,2023-11-09 00:00:00
ironplanet.com,auction,2020,Freightliner,Columbia,Y175E60YU42BS2MEL,109783.68,480500,"Houston, TX",Detroit Series 60,6x4,Automatic,12,215,False,Day Cab,,False,https://www.ironplanet.com/listing/72566750,2026-04-13,2026-03-19,2026-06-11,False,False,False,active,2026-03-19 07:00:00,2026-06-11 00:00:00
truckpaper.com,retail,2020,Volvo,VNL860,0DX6UJ2T4ZW17H9D7,119793.28,453530,"Fort Worth, TX",Volvo D13,6x4,Automatic,12,237,False,Dump,,False,https://www.truckpaper.com/listing/32138896,,2023-04-11,2023-06-22,False,False,False,withdrawn,2023-04-11 13:00:00,2023-06-22 00:00:00
ironplanet.com,auction,2018,Peterbilt,389,C735X73UBTR223ZUY,97047.24,723407,"Dallas, TX",Cummins X15,6x4,Manual,13,255,False,Flatbed,,False,https://www.ironplanet.com/listing/48055266,2023-08-19,2023-07-12,2023-08-28,False,False,True,ended,2023-07-12 11:00:00,2023-08-28 00:00:00
truckpaper.com,retail,2022,Peterbilt,389,DNLZR3T86VPF1EU5M,133140.14,369991,"Chicago, IL",Cummins X15,6x4,Automatic,12,234,False,Day Cab,,False,https://www.truckpaper.com/listing/80972304,,2024-12-03,2025-02-22,False,False,False,ended,2024-12-03 07:00:00,2025-02-22 00:00:00
truckpaper.com,retail,2022,Kenworth,W900,E3B3412AHZKK8AAZ1,144631.57,262240,"Salt Lake City, UT",Cummins X15,6x2,Automatic,12,223,True,Sleeper,"86""",False,https://www.truckpaper.com/listing/71796361,,2024-12-28,2025-04-22,False,False,False,ended,2024-12-28 00:00:00,2025-04-22 00:00:00
commercialtrucktrader.com,retail,2016,Freightliner,Cascadia,F2269PRLJ2XE6ZFZC,83178.27,874435,"Indianapolis, IN",Cummins X15,6x4,Manual,18,224,False,Dump,,False,https://www.commercialtrucktrader.com/listing/30438765,,2024-07-20,2024-09-29,False,False,False,ended,2024-07-20 05:00:00,2024-09-29 00:00:00
ironplanet.com,auction,2024,International,LT625,MP68A5T61A6T2NHZX,149043.52,198123,"Atlanta, GA",A26 Engine,6x2,Automatic,10,242,True,Flatbed,,False,https://www.ironplanet.com/listing/51014724,2024-07-23,2024-07-05,2024-10-06,False,False,True,ended,2024-07-05 17:00:00,2024-10-06 00:00:00
commercialtrucktrader.com,retail,2007,Volvo,VNL760,XXP4GNPEKCAN52AHL,5000.0,1994272,"Salt Lake City, UT",Volvo D13,6x2,Automatic,12,224,False,Day Cab,,True,https://www.commercialtrucktrader.com/listing/68778877,,2025-04-11,2025-05-10,False,True,False,withdrawn,2025-04-11 01:00:00,2025-05-10 00:00:00
ironplanet.com,auction,2008,Mack,Anthem,TZKRTUPR6C6X5MD2H,11246.84,1745010,"Chicago, IL",MP8,6x4,Automatic,12,225,True,Sleeper,"80""",True,https://www.ironplanet.com/listing/36887816,2025-10-24,2025-09-08,2025-11-14,False,True,False,ended,2025-09-08 06:00:00,2025-11-14 00:00:00
